                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96148,                 2.0112,                 1.0597,                 1.1382,                 3.2398,                 1.0364,                0.64441,                 0.7081,                0.71398,                0.52315,                0.80319,                0.91991,                 0.9237,                0.90966,                 1.0328,                0.93188,               0.070028,              0.0033302,              0.0033302
                      2,                0.82175,                0.93857,                0.95109,                 1.0268,                 1.0777,                0.97381,                0.66957,                0.70291,                0.72371,                0.52382,                 0.8099,                0.88767,                0.93444,                0.95196,                0.92238,                0.97052,               0.039995,              0.0066306,              0.0066306
                      3,                0.86192,                0.95464,                0.97035,                 1.0794,                 1.0883,                 1.0146,                0.66548,                0.71856,                0.71391,                0.50922,                0.84305,                0.92093,                0.96083,                0.98518,                0.98314,                 1.0006,               0.009929,              0.0098979,              0.0098979
                      4,                0.86889,                0.95319,                0.97936,                 1.0897,                 1.0877,                  1.029,                0.69273,                0.75862,                0.77164,                0.56436,                0.79914,                0.78161,                0.94098,                0.92117,                0.82824,                0.98272,              0.0098515,              0.0098515,              0.0098515
                      5,                0.81457,                0.85549,                0.95604,                 1.0106,                0.94917,                0.99596,                0.71485,                0.77911,                0.80724,                0.60369,                0.75787,                0.73948,                0.92416,                0.85055,                0.76408,                0.95321,              0.0098515,              0.0098515,              0.0098515
                      6,                0.78394,                0.80765,                0.94275,                 0.9716,                0.89628,                0.98267,                0.69892,                0.80619,                0.81991,                0.62177,                0.73613,                0.71286,                0.90951,                0.82034,                 0.7324,                0.93611,               0.009802,               0.009802,               0.009802
                      7,                  0.756,                0.77783,                0.93351,                0.94118,                 0.8543,                0.96989,                0.74193,                0.81426,                 0.8321,                0.63869,                0.71277,                0.67531,                0.90756,                0.78813,                0.67296,                0.93114,              0.0097525,              0.0097525,              0.0097525
                      8,                 0.7426,                0.75142,                0.93112,                0.91886,                0.82286,                0.96546,                0.75808,                0.79499,                0.84262,                0.64567,                0.69917,                0.65656,                 0.8974,                0.78321,                0.67158,                0.92169,               0.009703,               0.009703,               0.009703
                      9,                0.73201,                0.72936,                0.92154,                0.90593,                0.79402,                0.95183,                0.75305,                0.82509,                0.85049,                0.65411,                0.69297,                0.63945,                0.89393,                0.77629,                0.65154,                0.92144,              0.0096535,              0.0096535,              0.0096535
                     10,                0.72647,                0.71922,                 0.9213,                0.89722,                0.77378,                 0.9512,                0.78578,                0.81739,                0.86318,                0.66954,                0.68426,                0.63186,                0.89447,                0.75218,                0.62362,                0.92018,               0.009604,               0.009604,               0.009604
                     11,                 0.7126,                0.70303,                0.91745,                0.87169,                0.74811,                0.94693,                 0.7783,                0.83624,                0.87153,                0.67576,                 0.6787,                0.60429,                0.89218,                0.74097,                0.59677,                 0.9141,              0.0095545,              0.0095545,              0.0095545
                     12,                0.70215,                0.68574,                 0.9121,                0.85916,                0.72492,                0.94447,                0.79392,                 0.8319,                0.87833,                0.68219,                0.66547,                0.60085,                0.88849,                 0.7262,                0.58573,                0.90794,               0.009505,               0.009505,               0.009505
                     13,                0.69845,                0.67513,                0.91074,                0.85287,                0.71525,                0.94089,                0.78538,                0.84657,                0.88233,                0.69271,                0.65031,                0.56979,                0.88408,                0.71473,                0.57496,                0.89989,              0.0094555,              0.0094555,              0.0094555
                     14,                0.68897,                0.65565,                0.90898,                0.84122,                0.69807,                0.93361,                0.80227,                0.83783,                0.88533,                0.69526,                0.65094,                0.57076,                0.88635,                0.71521,                0.57718,                0.90487,               0.009406,               0.009406,               0.009406
                     15,                0.68792,                0.65826,                0.90786,                0.84218,                0.69571,                0.93314,                0.80907,                 0.8397,                0.88997,                0.70625,                  0.643,                0.56566,                0.88028,                0.71058,                0.54874,                0.89855,              0.0093565,              0.0093565,              0.0093565
                     16,                0.67759,                0.64836,                0.90334,                0.82954,                0.67734,                0.92489,                 0.7948,                0.84315,                 0.8872,                0.70455,                0.64408,                0.56407,                0.88136,                0.69804,                 0.5541,                  0.894,               0.009307,               0.009307,               0.009307
                     17,                0.67223,                0.63575,                0.90203,                0.81747,                0.66356,                 0.9249,                0.80827,                0.85251,                0.89592,                0.71536,                 0.6348,                0.53966,                0.87568,                0.69088,                0.53276,                0.88905,              0.0092575,              0.0092575,              0.0092575
                     18,                0.66606,                0.62944,                0.89793,                0.81699,                0.66437,                0.92105,                0.81303,                0.85042,                0.90278,                0.71928,                0.62977,                0.53727,                0.87623,                0.68368,                0.52764,                  0.889,               0.009208,               0.009208,               0.009208
                     19,                0.66443,                0.61607,                0.89909,                0.80364,                0.63932,                 0.9217,                0.82814,                0.83536,                0.90059,                0.72109,                0.62216,                0.53799,                 0.8734,                0.67987,                0.52243,                0.89326,              0.0091585,              0.0091585,              0.0091585
                     20,                0.66566,                0.61784,                0.89807,                0.80719,                0.64144,                0.92237,                0.81485,                0.86025,                0.90099,                0.72335,                0.61821,                 0.5247,                0.87091,                  0.671,                0.51906,                0.88852,               0.009109,               0.009109,               0.009109
                     21,                0.65369,                0.60793,                0.89464,                0.79185,                0.62674,                0.91526,                0.81728,                0.85749,                0.90736,                0.72853,                0.61492,                0.52051,                0.87058,                 0.6634,                0.51099,                0.88294,              0.0090595,              0.0090595,              0.0090595
                     22,                 0.6519,                0.60142,                0.89478,                 0.7896,                0.62076,                0.91566,                0.81227,                0.86729,                0.90574,                0.72672,                0.61869,                 0.5176,                0.87195,                0.66937,                0.51517,                0.88381,                0.00901,                0.00901,                0.00901
                     23,                0.64861,                0.59832,                0.89189,                0.78725,                0.61734,                0.90851,                0.83227,                0.85605,                0.91099,                0.73091,                 0.6127,                0.51297,                0.86895,                0.66473,                0.49698,                0.87749,              0.0089605,              0.0089605,              0.0089605
                     24,                0.64889,                0.59437,                0.89184,                0.78298,                0.61299,                0.91186,                0.84746,                0.84392,                0.91368,                0.73806,                 0.6087,                0.51345,                0.86768,                0.65747,                 0.4989,                0.88295,               0.008911,               0.008911,               0.008911
                     25,                0.64181,                0.59065,                0.88935,                0.78031,                0.60734,                0.90689,                  0.822,                0.87037,                0.91434,                0.73855,                0.60548,                0.50341,                0.86668,                0.65375,                0.49063,                0.87809,              0.0088615,              0.0088615,              0.0088615
                     26,                0.64124,                0.58836,                0.89113,                0.77452,                0.60723,                0.91287,                0.83038,                0.87449,                0.91839,                 0.7443,                0.60111,                0.49813,                0.86575,                 0.6487,                0.48695,                0.87993,               0.008812,               0.008812,               0.008812
